city,country,iso2,lat,lng,query,place_id,name,addr,place_lat,place_lng
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJD6zmAT7LvJURz-tlIiO4E7E,Florentino Ameghino Park,"Sta Cruz, C1282 CABA",-34.6364552,-58.39410789999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJyfjP4dk0o5URsFLZkfOvwXI,Micaela Bastidas Park,Buenos Aires,-34.615319799999995,-58.360449200000005
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJY7v2kSg1o5URwfnHzj56_6M,Mujeres Argentinas Park,"Juana Manso, Buenos Aires",-34.607352899999995,-58.361796
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJYeuUiWjKvJURbqivfQrfVdA,Parque Centenario,"Av. Díaz Vélez, C1414 CABA",-34.60649960000001,-58.4356338
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJBSwedjnLvJURXX34aCuJd6k,Parque España,C1282 Buenos Aires,-34.634463700000005,-58.385954000000005
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJzUXgvH21vJURmgmG5hpUBCc,Parque Las Heras,"French, C1425 CABA",-34.5841026,-58.40801620000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJ3_VmO6TKvJUReBNAK9tnIfk,Parque Thays,"Barrio, Buenos Aires",-34.5847947,-58.38712219999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJuWh329DKvJURXJUvD9wTdeE,Plaza La Pampa Province,C1072 Buenos Aires,-34.6114059,-58.3807659
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJpSAB-cXKvJURj2P83WlerSQ,Plaza Lavalle,"Lavalle 1200, C1043 AAL, Buenos Aires",-34.6020577,-58.384510999999996
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJnUiQkejKvJURxFUI9DmyhyY,Plaza Primero de Mayo,"Av. Hipólito Yrigoyen 2200, C1089AAP CABA",-34.611239399999995,-58.3981627
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJwwt5Tb7KvJURCU5pwHxZS_w,Plaza Rodríguez Peña,C1021 Buenos Aires,-34.597859299999996,-58.392511999999996
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJTSsxGTM1o5UR4oT6JUqoa1g,Plaza Roma,"Av. Leandro N. Alem, C1048 CABA",-34.6012282,-58.369721
Buenos Aires,Argentina,AR,-34.6025,-58.3975,shopping,ChIJXcKOJDQzo5URu8Fm7pohjEM,Alto Avellaneda Shopping,"Gral. Güemes 897, B1873 BOC, Buenos Aires",-34.67712849999999,-58.36793290000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,shopping,ChIJzYQmM9e3vJUROcWm37tV7tk,Devoto Shopping,"Quevedo 3365, C1417 CABA",-34.61173700000001,-58.51776579999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,shopping,ChIJ6ZckKe6wvJURKPVHh-URpvk,Unicenter Shopping,"Paraná 3745, Martínez, Buenos Aires",-34.5075874,-58.52531269999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJwewKkMu3vJUREHcKbgVc5yw,Arenales Park,"Mercedes 4058, C1419 BGJ, Buenos Aires",-34.5993652,-58.5122799
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJ7RNuPKS1vJURiR7kLC7sLro,Cnel. Jordan C. Wysocki Park,Buenos Aires,-34.5632922,-58.42407660000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJW3Va2NrKvJUROiaH5K0ualk,Palacio Barolo,"Av. de Mayo 1370, C1085 CABA",-34.6095914,-58.3858428
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJifSktCzLvJURsTMaMFXLu3E,Plaza Dorrego,"Humberto 1º 400, C1103 CABA",-34.620510499999995,-58.371756000000005
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJS4-Wh7zKvJURVAarHjmVg_s,Carrefour Market,"Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",-34.5920594,-58.38983929999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJS1pXWlIzo5URtWddUBtoQJQ,Carrefour Market,"Av. Manuel Belgrano 422, B1870 Avellaneda, Buenos Aires, Argentina",-34.6614304,-58.36802290000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJPXxXcLS2vJURhELW_TMOMbo,Carrefour Market,"Av. Maipú 940, B1638 Vicente López, Buenos Aires, Argentina",-34.529433600000004,-58.48146189999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJd6X6tcTOvJURS4pTaQpq9Gk,Central Market of Buenos Aires,"RN A002 S/N, B1771 Tapiales, Buenos Aires, Argentina",-34.7094005,-58.502247200000006
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJK6ZIOey1vJURRsDwx3S4Bwk,El mercado de las pulgas,"Av. Dorrego 1650, C1427 CCN, Buenos Aires, Argentina",-34.5825278,-58.44431379999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJf7oW4BrJvJURmHDyM0QfaoI,Liniers Market LLC,"Av. Lisandro de la Torre 2406, C1440 ECZ, Buenos Aires, Argentina",-34.66329959999999,-58.498512899999994
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJl5DBDkTKvJURGK6ProJCszA,Rivadavia Park,"Av. Rivadavia 4950, C1424 CABA, Argentina",-34.6182698,-58.4351265
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJsQqBvZ-1vJURbm-7dxt8fgM,Bosques De Palermo,"Av. Infanta Isabel 410, Buenos Aires, Argentina",-34.57127620000001,-58.41729640000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJAZygNsPKvJUR05SnBb3jAsc,Congressional Plaza,"C1033 Buenos Aires, Argentina",-34.60970820000001,-58.39033339999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJX1k1_oG1vJURXnF498N2HoA,Jardín Botánico Carlos Thays,"C1425 Buenos Aires, Argentina",-34.5825491,-58.41735
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJ217apvCpSgARi1VOI06tvhE,Obelisco,"Av. 9 de Julio s/n, C1043 CABA, Argentina",-34.603738899999996,-58.3815704
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJ10xgN561vJURkon23PB48-E,Paseo El Rosedal,"Buenos Aires, Argentina",-34.5706506,-58.41729960000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJbSLzQyk1o5URPBMjt-fRU98,Puente De La Mujer,"C1113 Buenos Aires, Argentina",-34.607987,-58.365137100000005
Buenos Aires,Argentina,AR,-34.6025,-58.3975,tourist information,ChIJIxYSMMbKvJURqZGJyCpvOFM,Teatro Colón,"Cerrito 628, C1010 CABA, Argentina",-34.601040600000005,-58.3830786
Buenos Aires,Argentina,AR,-34.6025,-58.3975,train station,ChIJ-bAhVU7JvJURGs3j3NvtWuY,Lugano,"Somellera 5739, 1439 CABA",-34.677304299999996,-58.4770003
Canberra,Australia,AU,-35.283,149.129,sights,ChIJLUL366VMFmsR4FdXi2_qAA8,Red Hill Nature Reserve,Red Hill ACT 2603,-35.3300715,149.11846119999998
Canberra,Australia,AU,-35.283,149.129,sights,ChIJXzx02ZlUFmsRnTsCd2d7DrU,Yerrabi Pond District Park,"Wunderlich St, Gungahlin ACT 2912",-35.1794936,149.1309221
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJ7TRHa5ekEmsRUELx-Wh9AQ8,Blaxland Riverside Park,"Jamieson St, Sydney Olympic Park NSW 2127",-33.826908200000005,151.0591726
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJo7Ntu_OuEmsRaX-EEnZoAwc,Blues Point Reserve,"Blues Point Rd, North Sydney NSW 2060",-33.849866299999995,151.2038631
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJQyYU8QOrEmsRFno4dKGQTYo,Manly Beach,"N Steyne, Manly NSW 2095",-33.7897311,151.28778400000002
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJ-U6CWeGiEmsR8MTx-Wh9AQ8,Parramatta Park,"Pitt St &, Macquarie St, Parramatta NSW 2150",-33.8087399,150.99494730000004
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJu_wnv1isEmsRsOnx-Wh9AQ8,Parsley Bay Reserve,"Parsley Rd, Vaucluse NSW 2030",-33.852237,151.278087
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJQSMg0N2wEmsRsKldaZazkA8,Shep's Mound,"Ross Smith Ave, Mascot NSW 2020",-33.94485239999999,151.1801366
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJqVVpmPSuEmsRd8WEFt6XOQc,Wendy Whiteley's Secret Garden,"Lavender St, Lavender Bay NSW 2060",-33.84385,151.20814719999998
Sydney,Australia,AU,-33.865,151.209444,tourist information,ChIJDflB7BWuEmsRYPbx-Wh9AQ8,Hyde Park,"Elizabeth St, Sydney NSW 2000, Australia",-33.873138299999994,151.2112757
Sydney,Australia,AU,-33.865,151.209444,tourist information,ChIJQ9b_zXquEmsRY6cF2rm2v0M,Mrs Macquarie's Chair,"1d Mrs Macquaries Rd, Sydney NSW 2000, Australia",-33.8596569,151.2225335
