city,country,iso2,lat,lng,query,place_id,name,addr,place_lat,place_lng
Buenos Aires,Argentina,AR,-34.6025,-58.3975,train station,ChIJBbf4mqbFvJURJnLSn3eeHJw,Laferrere,"Av. Gral. Rojo 7415, B1757 Gregorio de Laferrere, Buenos Aires, Argentina",-34.7506371,-58.5843843
Buenos Aires,Argentina,AR,-34.6025,-58.3975,train station,ChIJ-bAhVU7JvJURGs3j3NvtWuY,Lugano,"Somellera 5739, 1439 CABA, Argentina",-34.6773043,-58.4770003
Buenos Aires,Argentina,AR,-34.6025,-58.3975,train station,ChIJl3SOGzSwvJUR5DDs0EGXrak,San Isidro,"299, B1642CCE, Juan Marin 201, B1642CCE San Isidro, Buenos Aires, Argentina",-34.47182069999999,-58.513831
Graz,Austria,AT,47.07103,15.43811,train station,ChIJ5eT8-wo1bkcR3BZ6vuvF9PY,Graz Main Station,"Europaplatz 4, 8020 Graz, Austria",47.0727515,15.4162709
Dhaka,Bangladesh,BD,23.7231,90.4086,train station,ChIJTWbgV064VTcRRt21tVf8toY,Kamalapur Railway Station,"Kamalapur Rd, Dhaka 1222, Bangladesh",23.7318697,90.4261114
Minsk,Belarus,BY,53.9,27.5666,train station,ChIJt8o_ewTQ20YRY6Tonp5Xf30,Hrušaŭka,"где расположена ул.Тимирязевская и на каком транспорте можно доехать, Ulitsa Shchorsa, Minsk 220089, Belarus",53.886556,27.5140309
Minsk,Belarus,BY,53.9,27.5666,train station,ChIJDZAJdOLO20YRWSKeZykodgE,Maskoŭskaja,"praspiekt Niezaliežnasci, Minsk, Belarus",53.928024,27.627941
Minsk,Belarus,BY,53.9,27.5666,train station,ChIJRc9upwvQ20YRw4NuymCW_7c,Michalova,"ул. Гурского, Minsk 220089, Belarus",53.876753,27.4969349
Brussels,Belgium,BE,50.8333,4.3333,train station,ChIJucWFf-jEw0cRqJFfGhYGsqM,Brussel-Zuid,"Avenue Fonsny 47B, 1060 Brussel, Belgium",50.8360982,4.3354548
Brussels,Belgium,BE,50.8333,4.3333,train station,ChIJ9exvhJ3Dw0cRHmAGZFzpgSM,Gare de Bruxelles-Nord,"Rue du Progrès 76, 1030 Schaerbeek, Belgium",50.86049089999999,4.360106099999999
Brussels,Belgium,BE,50.8333,4.3333,train station,ChIJ-YBoLWzEw0cR0xV1n15O3jY,Station Brussel-Zuid,"Avenue Fonsny 47B, 1060 Brussel, Belgium",50.83645809999999,4.3349661
Brasília,Brazil,BR,-15.7833,-47.9161,train station,ChIJaSrm3cYxWpMRGkszUCpZ9Rc,Estação Feira,"Guará II QE 25 - Guará, Brasília - DF, 71025-100, Brazil",-15.8230865,-47.97504840000001
Brasília,Brazil,BR,-15.7833,-47.9161,train station,ChIJQyttu4IlWpMRUIfuMAnj674,International Airport of Brasilia,"Lago Sul, Brasília - DF, 71608-900, Brazil",-15.8697369,-47.9172348
Rio de Janeiro,Brazil,BR,-22.908333,-43.196389,train station,ChIJiz2jV2p_mQARz0pm1NFc-6E,Central do Brasil,"Praça Cristiano Otoni, s/n - Subsolo, Rio de Janeiro - RJ, 20224-970, Brazil",-22.903534,-43.191547
Rio de Janeiro,Brazil,BR,-22.908333,-43.196389,train station,ChIJ99f-qoHfmwARmulOQlA3LWk,Estação Mocidade Padre Miguel,"R. Cel. Tamarindo, S/N - Padre Miguel, Rio de Janeiro - RJ, 21870-001, Brazil",-22.8750681,-43.4474447
Rio de Janeiro,Brazil,BR,-22.908333,-43.196389,train station,ChIJKdqCp4pkmQARwCg_G-TTPFI,Pavuna/São João de Meriti,"Largo da Pavuna, 13 - Pavuna, Rio de Janeiro - RJ, 21520-310, Brazil",-22.8052456,-43.3675409
Rio de Janeiro,Brazil,BR,-22.908333,-43.196389,train station,ChIJRT3BUBqAmQAR1QC7ISuAbV8,Sugar Loaf cable car,"Av. Pasteur, 520 - Urca, Rio de Janeiro - RJ, 22290-240, Brazil",-22.955644,-43.1669237
Rio de Janeiro,Brazil,BR,-22.908333,-43.196389,train station,ChIJVxczwit-mQARLGJdROoLBio,Trem do Corcovado,"R. Cosme Velho, 513 - Cosme Velho, Rio de Janeiro - RJ, 22241-091, Brazil",-22.9414867,-43.1987558
Sao Paulo,Brazil,BR,-23.55,-46.633333,train station,ChIJoYLR3L5ZzpQRhxQbVHJCpMY,Brigadeiro,"01310-000, Av. Paulista, 447 - Paraíso, São Paulo, Brazil",-23.56761,-46.6490269
Sao Paulo,Brazil,BR,-23.55,-46.633333,train station,ChIJpVnOYuB6zpQRZpAbhDnPGHs,Calmon Viana,"Av. Brasil, 198 - Centro, Poá - SP, 08561-000, Brazil",-23.5253717,-46.3332559
